Country/Region,Date,Name,Event,Format,Hero,Rank,deck_url
Hong Kong,21 Dec 2025,Evanking Chiu – Chane – Battle Hardened: Hong Kong,Battle Hardened: Hong Kong,Silver Age,Chane,1st,https://fabtcg.com/decklists/evanking-chiu-chane-battle-hardened-hong-kong-2025/
Philippines,21 Dec 2025,"Mikko Pena – Ira, Crimson Haze – Battle Hardened: Hong Kong",Battle Hardened: Hong Kong,Silver Age,"Ira, Crimson Haze",2nd,https://fabtcg.com/decklists/mikko-pena-ira-crimson-haze-battle-hardened-hong-kong-2025/
Hong Kong,21 Dec 2025,erwin leung – Oldhim – Battle Hardened: Hong Kong,Battle Hardened: Hong Kong,Silver Age,Oldhim,3rd,https://fabtcg.com/decklists/erwin-leung-oldhim-battle-hardened-hong-kong-2025/
Hong Kong,21 Dec 2025,Isaac Lee – Chane – Battle Hardened: Hong Kong,Battle Hardened: Hong Kong,Silver Age,Chane,3rd,https://fabtcg.com/decklists/isaac-lee-chane-battle-hardened-hong-kong-2025/
Netherlands,21 Dec 2025,Paul van Gijssel – Chane – Battle Hardened: Hong Kong,Battle Hardened: Hong Kong,Silver Age,Chane,5th,https://fabtcg.com/decklists/paul-van-gijssel-chane-battle-hardened-hong-kong-2025/
Philippines,21 Dec 2025,Chris Javier Mapalo – Chane – Battle Hardened: Hong Kong,Battle Hardened: Hong Kong,Silver Age,Chane,5th,https://fabtcg.com/decklists/chris-javier-mapalo-chane-battle-hardened-hong-kong-2025/
Hong Kong,21 Dec 2025,Terry Yuen – Briar – Battle Hardened: Hong Kong,Battle Hardened: Hong Kong,Silver Age,Briar,5th,https://fabtcg.com/decklists/terry-yuen-briar-battle-hardened-hong-kong-2025/
Hong Kong,21 Dec 2025,Bun Ar – Chane – Battle Hardened: Hong Kong,Battle Hardened: Hong Kong,Silver Age,Chane,5th,https://fabtcg.com/decklists/bun-ar-chane-battle-hardened-hong-kong-2025/
Taiwan,20 Dec 2025,"Oh Oh – Verdance, Thorn of the Rose – Calling: Hong Kong",Calling: Hong Kong,Classic Constructed,"Verdance, Thorn of the Rose",1st,https://fabtcg.com/decklists/oh-oh-verdance-thorn-of-the-rose-calling-hong-kong-2025/
Hong Kong,20 Dec 2025,"Law Wen – Arakni, Marionette – Calling: Hong Kong",Calling: Hong Kong,Classic Constructed,"Arakni, Marionette",2nd,https://fabtcg.com/decklists/law-wen-arakni-marionette-calling-hong-kong-2025/
Hong Kong,20 Dec 2025,"Teddy Tai – Kayo, Armed and Dangerous – Calling: Hong Kong",Calling: Hong Kong,Classic Constructed,"Kayo, Armed and Dangerous",3rd,https://fabtcg.com/decklists/teddy-tai-kayo-armed-and-dangerous-calling-hong-kong-2025/
United Kingdom,20 Dec 2025,"Jacob Clements – Gravy Bones, Shipwrecked Looter – Calling: Hong Kong",Calling: Hong Kong,Classic Constructed,"Gravy Bones, Shipwrecked Looter",3rd,https://fabtcg.com/decklists/jacob-clements-gravy-bones-shipwrecked-looter-calling-hong-kong-2025/
United States of America,20 Dec 2025,"Brodie Spurlock – Gravy Bones, Shipwrecked Looter – Calling: Hong Kong",Calling: Hong Kong,Classic Constructed,"Gravy Bones, Shipwrecked Looter",5th,https://fabtcg.com/decklists/brodie-spurlock-gravy-bones-shipwrecked-looter-calling-hong-kong-2025/
Thailand,20 Dec 2025,Torpong Juntree – Kassai of the Golden Sand – Calling: Hong Kong,Calling: Hong Kong,Classic Constructed,Kassai of the Golden Sand,5th,https://fabtcg.com/decklists/torpong-juntree-kassai-of-the-golden-sand-calling-hong-kong-2025/
Japan,20 Dec 2025,shoma yamamura – Kassai of the Golden Sand – Calling: Hong Kong,Calling: Hong Kong,Classic Constructed,Kassai of the Golden Sand,5th,https://fabtcg.com/decklists/shoma-yamamura-kassai-of-the-golden-sand-calling-hong-kong-2025/
Japan,20 Dec 2025,"RICARDO DIAZ – Kayo, Underhanded Cheat – Calling: Hong Kong",Calling: Hong Kong,Classic Constructed,"Kayo, Underhanded Cheat",5th,https://fabtcg.com/decklists/ricardo-diaz-kayo-underhanded-cheat-calling-hong-kong-2025/
Canada,18 Dec 2025,"Yuki Lee Bender – Rhinar, Reckless Rampage – Masterclass",Masterclass,Classic Constructed,"Rhinar, Reckless Rampage",,https://fabtcg.com/decklists/yuki-lee-bender-rhinar-reckless-rampage-masterclass/
United States of America,14 Dec 2025,Andrew Rothermel – Chane – Battle Hardened: Seattle,Battle Hardened: Seattle,Silver Age,Chane,1st,https://fabtcg.com/decklists/andrew-rothermel-chane-calling-seattle-battle-hardened-silver-age-9-am-1214/
United States of America,14 Dec 2025,"Amanda Sullender – Bravo, Flattering Showman – Battle Hardened: Seattle",Battle Hardened: Seattle,Silver Age,"Bravo, Flattering Showman",2nd,https://fabtcg.com/decklists/amanda-sullender-bravo-flattering-showman-calling-seattle-battle-hardened-silver-age-9-am-1214/
United States of America,14 Dec 2025,"Patrick R – Ira, Crimson Haze – Battle Hardened: Seattle",Battle Hardened: Seattle,Silver Age,"Ira, Crimson Haze",3rd,https://fabtcg.com/decklists/patrick-r-ira-crimson-haze-calling-seattle-battle-hardened-silver-age-9-am-1214/
Canada,14 Dec 2025,Elly Bird – Briar – Battle Hardened: Seattle,Battle Hardened: Seattle,Silver Age,Briar,3rd,https://fabtcg.com/decklists/elly-bird-briar-calling-seattle-battle-hardened-silver-age-9-am-1214/
United States of America,14 Dec 2025,Charlton Smith – Olympia – Battle Hardened: Seattle,Battle Hardened: Seattle,Silver Age,Olympia,5th,https://fabtcg.com/decklists/charlton-smith-olympia-calling-seattle-battle-hardened-silver-age-9-am-1214/
United States of America,14 Dec 2025,AUSTIN BRILL – Oldhim – Battle Hardened: Seattle,Battle Hardened: Seattle,Silver Age,Oldhim,5th,https://fabtcg.com/decklists/austin-brill-oldhim-calling-seattle-battle-hardened-silver-age-9-am-1214/
